window_source	window_id	subject	participant_id	pid	label_class	primary_target	channel	sfreq_hz	window_start_sample	window_stop_sample	actual_samples	expected_samples	finite_fraction	min_uv	p01_uv	median_uv	p99_uv	max_uv	robust_range_uv	peak_to_peak_uv	std_uv	mad_uv	outlier_fraction_10mad	longest_unchanged_sec	abrupt_jump_fraction	endpoint_fraction	critical_flags	review_flags	channel_decision
background_review	B00033	sub-1	sub-1	89	background_review	False	HB_1	256.0	0	61440	61440	61440	1.0	-290.2723735408562	-202.34470130464658	12.130922407873456	125.56649118791464	202.3804074158844	327.9111924925612	492.6527809567406	68.72591094893225	39.276722362096585	0.0	0.015625	0.0	4.8828125e-05	pass	pass	include
background_review	B00033	sub-1	sub-1	89	background_review	False	HB_2	256.0	0	61440	61440	61440	1.0	-266.7429617761503	-191.4497596704053	11.673151750972563	121.99588006408769	190.11215381094047	313.445639734493	456.8551155870908	65.84114218270058	37.53719386587319	0.0	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00034	sub-1	sub-1	89	background_review	False	HB_1	256.0	7680	69120	61440	61440	1.0	-2999.9084458686198	-2999.9084458686198	4.074158846417745	122.27054245822822	202.3804074158844	3122.178988326848	3202.288853284504	867.9571718159988	45.31929503318837	0.09163411458333333	21.9921875	1.627630658051075e-05	0.091650390625	flatline_at_least_5_sec	high_robust_range;many_10mad_outliers;repeated_endpoints	exclude
background_review	B00034	sub-1	sub-1	89	background_review	False	HB_2	256.0	7680	69120	61440	61440	1.0	-2999.9084458686198	-2999.9084458686198	4.257267109178102	116.86884870679769	187.73174639505586	3116.7772945754173	3187.6401922636755	867.728444785658	42.75577935454337	0.09163411458333333	21.9921875	1.627630658051075e-05	0.091650390625	flatline_at_least_5_sec	high_robust_range;many_10mad_outliers;repeated_endpoints	exclude
background_review	B00019	sub-1	sub-1	89	background_review	False	HB_1	256.0	230400	291840	61440	61440	1.0	-334.1268024719617	-213.2396429388878	10.574502174410421	134.53879606317213	223.43785763332545	347.77843900205994	557.5646601052872	75.28152137007196	46.41794460975051	0.0	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00019	sub-1	sub-1	89	background_review	False	HB_2	256.0	230400	291840	61440	61440	1.0	-293.56832227054264	-210.34561684596034	12.314030670633812	133.34859235522978	220.59967956053995	343.6942092011901	514.1680018310826	74.3252273715067	45.410849164568546	0.0	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00020	sub-1	sub-1	89	background_review	False	HB_1	256.0	238080	299520	61440	61440	1.0	-334.1268024719617	-209.9436942092014	9.658960860608635	130.20004577706553	223.43785763332545	340.14373998626695	557.5646601052872	72.25237980423269	42.93888761730373	0.0	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00020	sub-1	sub-1	89	background_review	False	HB_2	256.0	238080	299520	61440	61440	1.0	-293.56832227054264	-208.23987182421627	11.398489356832025	128.91828793774303	220.59967956053995	337.15815976195927	514.1680018310826	71.27748587741097	42.38956282902265	0.0	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00017	sub-1	sub-1	89	background_review	False	HB_1	256.0	253440	314880	61440	61440	1.0	-287.70885786221123	-195.33073929961108	5.447470817120423	122.27054245822822	215.83886472877066	317.6012817578393	503.5477225909819	61.09333365491801	29.02265964751659	9.765625e-05	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00017	sub-1	sub-1	89	background_review	False	HB_2	256.0	253440	314880	61440	61440	1.0	-266.1936369878692	-193.46395056076926	7.003891050583458	121.13618677042786	183.97802700846856	314.6001373311971	450.17166399633777	61.2683572514364	31.219958800640878	0.0	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00009	sub-1	sub-1	89	background_review	False	HB_1	256.0	261120	322560	61440	61440	1.0	-287.70885786221123	-189.9290455481805	4.074158846417745	117.01625085831982	215.83886472877066	306.94529640650035	503.5477225909819	55.270186631367096	23.07164110780499	0.0030110677083333335	0.015625	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00009	sub-1	sub-1	89	background_review	False	HB_2	256.0	261120	322560	61440	61440	1.0	-266.1936369878692	-183.7949187457086	5.355916685740244	114.91050583657572	174.82261387045065	298.7054245822843	441.01625085831984	54.920889029143915	25.818265049210343	0.000439453125	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00010	sub-1	sub-1	89	background_review	False	HB_1	256.0	268800	330240	61440	61440	1.0	-287.70885786221123	-183.97802700846896	3.067063401235781	113.2625314717325	215.83886472877066	297.24055848020146	503.5477225909819	49.72669527483537	18.219272144655527	0.011897786458333334	0.015625	0.0	3.255208333333333e-05	pass	many_10mad_outliers	review
background_review	B00010	sub-1	sub-1	89	background_review	False	HB_2	256.0	268800	330240	61440	61440	1.0	-266.1936369878692	-179.51201647974383	3.891050583657388	109.91073472190412	174.82261387045065	289.42275120164794	441.01625085831984	49.94309657626859	21.423666742961775	0.003987630208333333	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00031	sub-1	sub-1	89	background_review	False	HB_1	256.0	284160	345600	61440	61440	1.0	-287.70885786221123	-114.91050583657606	1.5106431677727465	76.21881437399843	215.83886472877066	191.1293202105745	503.5477225909819	31.894947538165844	12.634470130464637	0.009733072916666667	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00031	sub-1	sub-1	89	background_review	False	HB_2	256.0	284160	345600	61440	61440	1.0	-266.1936369878692	-122.05172808422999	1.8768596932934607	79.47905699244663	174.82261387045065	201.53078507667664	441.01625085831984	34.209674223709456	15.930418860151061	0.004541015625	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00032	sub-1	sub-1	89	background_review	False	HB_1	256.0	291840	353280	61440	61440	1.0	-208.0567635614559	-87.66308079652114	1.052872510871854	54.70359349965646	92.05767910276931	142.36667429617762	300.11444266422524	24.175949920542937	11.16960402838178	0.005859375	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00032	sub-1	sub-1	89	background_review	False	HB_2	256.0	291840	353280	61440	61440	1.0	-202.74662394140552	-93.24788281071203	1.2359807736322108	61.29549095902932	110.09384298466448	154.54337376974135	312.84046692607	26.80206710570218	14.373998626688028	0.002018229166666667	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00015	sub-1	sub-1	89	background_review	False	HB_1	256.0	407040	468480	61440	61440	1.0	-313.06935225452065	-72.61249713893359	1.2359807736322108	52.10437170977326	113.29823758297073	124.71686884870685	426.3675898374914	23.656772162548286	10.711833371480887	0.005501302083333334	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00015	sub-1	sub-1	89	background_review	False	HB_2	256.0	407040	468480	61440	61440	1.0	-235.52300297550946	-74.44357976653716	1.052872510871854	52.41474021515201	115.67864499885535	126.85831998168916	351.2016479743648	23.90003045360911	12.26825360494392	0.00341796875	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00025	sub-1	sub-1	89	background_review	False	HB_1	256.0	414720	476160	61440	61440	1.0	-313.06935225452065	-71.42229343099127	1.2359807736322108	51.37193865873182	113.29823758297073	122.7942320897231	426.3675898374914	22.99543112886534	10.162508583199815	0.006363932291666667	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00025	sub-1	sub-1	89	background_review	False	HB_2	256.0	414720	476160	61440	61440	1.0	-235.52300297550946	-72.88715953307413	1.052872510871854	52.140077821011474	115.67864499885535	125.0272373540856	351.2016479743648	23.53413899694983	11.902037079423208	0.0036295572916666668	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
background_review	B00001	sub-1	sub-1	89	background_review	False	HB_1	256.0	422400	483840	61440	61440	1.0	-313.06935225452065	-51.00572213321146	0.6866559853511398	45.27351796749808	113.29823758297073	96.27924010070953	426.3675898374914	19.59758051357603	9.338521400778207	0.0037434895833333335	0.01171875	0.0	3.255208333333333e-05	pass	pass	include
