window_source	window_id	subject	participant_id	pid	label_class	primary_target	channels_checked	include_channels	review_channels	exclude_channels	critical_flags	review_flags	window_signal_decision	review_priority
background_review	B00001	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00002	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00003	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00004	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00005	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00006	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00007	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00008	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00009	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00010	sub-1	sub-1	89	background_review	False	2	1	1	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00011	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00012	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00013	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00014	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00015	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00016	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00017	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00018	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00019	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00020	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00021	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00022	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00023	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00024	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00025	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00026	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00027	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00028	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00029	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00030	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00031	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00032	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00033	sub-1	sub-1	89	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00034	sub-1	sub-1	89	background_review	False	2	0	0	2	flatline_at_least_5_sec	high_robust_range;many_10mad_outliers;repeated_endpoints	exclude	critical_exclusion
background_review	B00035	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00036	sub-1	sub-1	89	background_review	False	2	0	0	2	constant_signal;flatline_at_least_5_sec;near_flat_robust_range	repeated_endpoints	exclude	critical_exclusion
background_review	B00037	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00038	sub-1	sub-1	89	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00039	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00040	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00041	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00042	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00043	sub-10	sub-10	91	background_review	False	2	1	1	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00044	sub-10	sub-10	91	background_review	False	2	1	1	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00045	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00046	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00047	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00048	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00049	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00050	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00051	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00052	sub-10	sub-10	91	background_review	False	2	0	2	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00053	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00054	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00055	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00056	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00057	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00058	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00059	sub-10	sub-10	91	background_review	False	2	1	1	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00060	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00061	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00062	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00063	sub-10	sub-10	91	background_review	False	2	1	1	0	pass	many_10mad_outliers	review	mad_only_review
background_review	B00064	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00065	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00066	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00067	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00068	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00069	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00070	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
background_review	B00071	sub-10	sub-10	91	background_review	False	2	2	0	0	pass	pass	include	no_review_flag
